Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.54,0.4,0.13,0.587,0.2722,0.1228,0.175,8.3
F,0.57,0.48,0.16,1.084,0.574,0.239,0.266,8.2
F,0.532,0.4,0.11,0.538,0.2898,0.0924,0.167,7.3
F,0.673,0.47,0.172,1.362,0.509,0.271,0.404,12.8
F,0.647,0.54,0.16,1.495,0.675,0.3043,0.351,9.3
F,0.509,0.4,0.136,0.6575,0.3135,0.1344,0.193,7.3
F,0.62,0.475,0.135,0.9193,0.3671,0.175,0.271,9.7
F,0.65,0.51,0.17,1.27,0.6358,0.3027,0.327,9.6
F,0.581,0.479,0.15,1.179,0.561,0.2461,0.33,11.7
F,0.519,0.38,0.141,0.6576,0.3214,0.178,0.177,10.7
I,0.24,0.187,0.06,0.0642,0.0345,0.0135,0.0105,5.1
M,0.542,0.45,0.13,0.9751,0.3975,0.2286,0.2224,7.0
F,0.562,0.51,0.168,1.069,0.3675,0.242,0.338,10.4
M,0.4,0.33,0.1,0.3288,0.166,0.0736,0.1,6.2
F,0.54,0.5,0.16,0.9548,0.4228,0.198,0.282,8.9
F,0.559,0.46,0.16,0.9399,0.42,0.17,0.233,8.2
F,0.593,0.47,0.173,1.1915,0.541,0.251,0.35,11.0
I,0.513,0.385,0.121,0.5695,0.2551,0.1383,0.241,9.6
F,0.597,0.487,0.181,1.187,0.4486,0.278,0.333,12.8
F,0.609,0.526,0.164,1.309,0.6576,0.2983,0.3,9.0
F,0.714,0.55,0.176,1.49,0.6956,0.2946,0.4,13.2
F,0.499,0.37,0.137,0.6608,0.324,0.1209,0.176,6.4
F,0.627,0.49,0.16,1.2179,0.4696,0.2551,0.4,8.7
F,0.469,0.4,0.126,0.686,0.2541,0.1339,0.22,9.0
F,0.6,0.5,0.13,0.9641,0.365,0.286,0.31,10.6
F,0.58,0.45,0.16,0.9516,0.3804,0.221,0.277,11.2
I,0.306,0.25,0.1,0.2458,0.1139,0.0498,0.0637,5.1
F,0.586,0.458,0.17,1.0884,0.422,0.2499,0.3,11.3
F,0.45,0.36,0.136,0.396,0.1906,0.108,0.12,6.6
F,0.626,0.46,0.171,1.3859,0.712,0.2937,0.363,11.2
F,0.558,0.47,0.16,0.9399,0.4762,0.2087,0.252,9.3
F,0.606,0.4,0.14,0.8119,0.3972,0.2,0.226,7.8
M,0.545,0.45,0.138,0.8739,0.36,0.186,0.24,7.2
I,0.25,0.2,0.077,0.0899,0.0468,0.027,0.04,2.9
F,0.55,0.4,0.142,0.648,0.273,0.1476,0.19,10.8
F,0.484,0.4,0.154,0.6937,0.2688,0.138,0.176,6.4
F,0.44,0.305,0.1,0.3691,0.178,0.068,0.084,5.5
F,0.546,0.45,0.15,1.1442,0.4208,0.253,0.28,12.4
F,0.583,0.5,0.175,1.29,0.6558,0.3162,0.349,7.1
F,0.58,0.48,0.15,0.9486,0.4388,0.215,0.24,9.6
F,0.524,0.41,0.13,0.694,0.2864,0.1266,0.183,10.4
F,0.58,0.445,0.15,1.019,0.5145,0.2348,0.281,10.8
F,0.552,0.46,0.131,0.86,0.3534,0.165,0.283,9.2
M,0.616,0.49,0.15,1.1,0.4674,0.2451,0.288,9.2
F,0.625,0.54,0.2,1.851,0.7583,0.399,0.437,13.5
F,0.554,0.48,0.16,0.9859,0.4509,0.283,0.328,9.7
F,0.611,0.51,0.175,1.3156,0.5439,0.2631,0.36,11.0
F,0.711,0.51,0.18,1.56,0.77,0.3521,0.479,10.9
F,0.58,0.47,0.15,0.925,0.4581,0.2487,0.238,7.5
F,0.597,0.58,0.15,1.2967,0.555,0.2323,0.301,10.4
I,0.47,0.34,0.11,0.2808,0.119,0.063,0.09,6.3
F,0.613,0.5,0.15,1.207,0.5,0.2681,0.363,13.3
F,0.55,0.45,0.15,0.9447,0.421,0.2,0.29,13.7
F,0.644,0.5,0.18,1.041,0.5044,0.243,0.37,9.1
F,0.75,0.53,0.17,2.138,0.9,0.379,0.469,11.1
F,0.654,0.44,0.14,1.0476,0.55,0.206,0.31,5.5
F,0.63,0.504,0.171,1.3441,0.7066,0.3029,0.407,9.9
F,0.596,0.524,0.16,1.21,0.5915,0.2247,0.36,10.0
F,0.64,0.47,0.177,1.0278,0.4449,0.244,0.379,13.2
I,0.53,0.37,0.126,0.6308,0.3207,0.1209,0.191,7.2
F,0.659,0.56,0.2,1.58,0.9073,0.3501,0.446,10.8
F,0.71,0.47,0.18,1.7548,0.7995,0.422,0.51,9.3
F,0.62,0.534,0.178,1.2029,0.46,0.3004,0.329,10.6
F,0.54,0.406,0.15,0.95,0.4719,0.1815,0.26,9.1
I,0.48,0.34,0.14,0.4469,0.1963,0.094,0.14,7.1
F,0.614,0.43,0.16,1.1111,0.4469,0.242,0.291,9.5
F,0.513,0.369,0.119,0.747,0.235,0.1437,0.22,9.8
F,0.583,0.46,0.134,0.9073,0.39,0.2101,0.24,6.9
F,0.616,0.464,0.17,1.03,0.4369,0.244,0.2968,3.2
F,0.6,0.47,0.183,0.9276,0.4848,0.2359,0.288,8.1
F,0.64,0.504,0.19,1.317,0.676,0.2781,0.443,11.7
M,0.78,0.578,0.228,2.305,1.062,0.506,0.473,10.5
F,0.6,0.49,0.176,1.2561,0.4602,0.2633,0.338,12.1
F,0.674,0.445,0.15,1.1546,0.4611,0.227,0.281,11.6
F,0.5,0.47,0.15,0.93,0.4463,0.2459,0.25,8.3
F,0.63,0.48,0.153,1.1984,0.4591,0.2568,0.341,13.8
F,0.59,0.42,0.15,0.964,0.4482,0.2029,0.22,8.3
M,0.56,0.44,0.143,0.9829,0.4089,0.1499,0.193,9.9
F,0.628,0.53,0.16,1.1781,0.5339,0.3218,0.32,11.3
F,0.464,0.4,0.11,0.555,0.2427,0.1391,0.187,7.9
F,0.648,0.53,0.175,1.459,0.5968,0.264,0.469,11.2
F,0.58,0.48,0.15,1.1717,0.5409,0.2542,0.3053,9.6
F,0.68,0.48,0.162,1.05,0.556,0.257,0.38,11.5
F,0.531,0.49,0.12,0.7237,0.291,0.1349,0.23,7.7
I,0.437,0.36,0.11,0.402,0.1902,0.077,0.124,7.9
F,0.502,0.403,0.13,0.6261,0.24,0.1401,0.182,12.5
I,0.57,0.46,0.132,0.783,0.364,0.1714,0.23,9.1
I,0.19,0.177,0.055,0.071,0.0146,0.0056,0.01,4.5
F,0.5,0.38,0.132,0.533,0.3028,0.1441,0.177,7.0
F,0.58,0.44,0.15,0.985,0.4594,0.2088,0.234,9.4
F,0.53,0.4,0.137,0.511,0.33,0.1323,0.18,5.9
F,0.6,0.464,0.15,1.1,0.4547,0.247,0.327,11.9
F,0.57,0.48,0.15,1.08,0.4579,0.2377,0.34,7.4
