Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.53,0.4,0.14,0.65,0.28,0.13,0.18,8.0
F,0.57,0.46,0.16,1.13,0.57,0.24,0.28,9.0
F,0.52,0.4,0.11,0.55,0.29,0.1,0.18,7.0
F,0.62,0.49,0.18,1.24,0.5,0.28,0.42,13.0
F,0.66,0.52,0.18,1.45,0.72,0.29,0.36,9.0
F,0.52,0.4,0.14,0.7,0.3,0.14,0.18,7.0
F,0.57,0.46,0.14,0.9,0.42,0.17,0.28,9.0
F,0.63,0.49,0.18,1.38,0.66,0.3,0.36,9.0
F,0.6,0.46,0.15,1.12,0.57,0.26,0.31,11.0
F,0.5,0.39,0.14,0.67,0.31,0.18,0.18,10.0
I,0.25,0.18,0.06,0.06,0.03,0.01,0.01,5.0
M,0.56,0.45,0.14,0.91,0.43,0.22,0.22,7.0
F,0.56,0.46,0.18,1.14,0.39,0.24,0.34,10.0
M,0.4,0.34,0.11,0.35,0.16,0.07,0.1,6.0
F,0.59,0.46,0.15,0.98,0.42,0.2,0.28,9.0
F,0.57,0.46,0.16,0.89,0.43,0.17,0.24,8.0
F,0.62,0.49,0.18,1.29,0.55,0.28,0.32,11.0
I,0.5,0.4,0.14,0.66,0.25,0.13,0.24,10.0
F,0.62,0.5,0.18,1.21,0.46,0.28,0.34,12.0
F,0.66,0.52,0.18,1.27,0.66,0.29,0.3,9.0
F,0.66,0.54,0.18,1.41,0.63,0.3,0.4,12.0
F,0.5,0.38,0.14,0.68,0.35,0.13,0.17,7.0
F,0.62,0.49,0.15,1.24,0.52,0.26,0.36,9.0
F,0.5,0.4,0.14,0.65,0.24,0.15,0.22,9.0
F,0.6,0.5,0.15,1.06,0.38,0.26,0.31,10.0
F,0.58,0.44,0.16,0.97,0.39,0.24,0.28,11.0
I,0.32,0.25,0.09,0.24,0.12,0.05,0.06,5.0
F,0.57,0.46,0.16,1.06,0.43,0.26,0.32,12.0
F,0.46,0.35,0.14,0.41,0.18,0.1,0.13,7.0
F,0.64,0.49,0.18,1.38,0.68,0.29,0.37,11.0
F,0.57,0.48,0.15,1.07,0.46,0.22,0.27,10.0
F,0.56,0.44,0.15,0.84,0.43,0.19,0.23,8.0
M,0.55,0.44,0.14,0.85,0.38,0.18,0.23,7.0
I,0.26,0.19,0.08,0.09,0.05,0.03,0.04,3.0
F,0.53,0.41,0.14,0.65,0.28,0.14,0.2,10.0
F,0.52,0.4,0.14,0.68,0.26,0.12,0.18,6.0
F,0.44,0.32,0.1,0.38,0.17,0.06,0.08,6.0
F,0.6,0.49,0.15,1.13,0.43,0.26,0.31,13.0
F,0.62,0.49,0.18,1.35,0.66,0.29,0.34,8.0
F,0.57,0.46,0.16,0.96,0.45,0.21,0.23,10.0
F,0.5,0.38,0.13,0.67,0.28,0.12,0.18,10.0
F,0.57,0.46,0.15,1.01,0.5,0.26,0.26,11.0
F,0.56,0.44,0.14,0.89,0.38,0.17,0.26,9.0
M,0.62,0.49,0.15,1.09,0.46,0.26,0.29,10.0
F,0.68,0.54,0.2,1.79,0.72,0.38,0.44,13.0
F,0.57,0.46,0.15,1.1,0.46,0.27,0.34,10.0
F,0.62,0.49,0.18,1.24,0.53,0.29,0.36,11.0
F,0.68,0.55,0.18,1.59,0.68,0.35,0.44,11.0
F,0.57,0.44,0.15,0.91,0.46,0.24,0.26,8.0
F,0.66,0.54,0.15,1.22,0.54,0.23,0.32,11.0
I,0.46,0.35,0.11,0.3,0.12,0.06,0.08,6.0
F,0.62,0.49,0.16,1.25,0.5,0.26,0.34,13.0
F,0.57,0.44,0.16,0.96,0.41,0.2,0.3,13.0
F,0.62,0.49,0.18,1.08,0.5,0.25,0.36,9.0
F,0.71,0.55,0.18,1.97,0.9,0.4,0.46,11.0
F,0.62,0.46,0.15,1.09,0.54,0.22,0.29,6.0
F,0.66,0.5,0.18,1.38,0.66,0.29,0.4,10.0
F,0.6,0.5,0.15,1.2,0.58,0.22,0.34,10.0
F,0.63,0.46,0.18,1.09,0.42,0.25,0.34,12.0
I,0.5,0.38,0.12,0.64,0.32,0.12,0.18,7.0
F,0.68,0.54,0.2,1.56,0.87,0.36,0.44,10.0
F,0.72,0.55,0.18,1.78,0.79,0.4,0.49,9.0
F,0.66,0.5,0.18,1.21,0.48,0.31,0.34,11.0
