Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.52,0.4,0.129,0.671,0.2886,0.1228,0.19,7.3
F,0.62,0.46,0.15,1.2,0.61,0.244,0.257,8.4
F,0.539,0.4,0.12,0.522,0.3046,0.1087,0.188,7.5
F,0.637,0.51,0.166,1.2756,0.463,0.267,0.424,13.7
F,0.61,0.55,0.17,1.4754,0.673,0.3152,0.331,8.7
F,0.48,0.4,0.142,0.7514,0.2904,0.1317,0.202,6.8
F,0.524,0.472,0.134,0.9704,0.4127,0.175,0.276,9.1
F,0.68,0.52,0.19,1.25,0.6445,0.316,0.325,8.1
F,0.607,0.432,0.14,1.1574,0.596,0.2392,0.32,10.4
F,0.526,0.39,0.135,0.6131,0.2839,0.177,0.176,9.4
I,0.23,0.165,0.059,0.0651,0.0313,0.0117,0.0111,4.8
M,0.607,0.49,0.123,0.8757,0.4183,0.2296,0.2313,7.4
F,0.592,0.5,0.189,1.098,0.4017,0.244,0.367,9.6
M,0.4,0.31,0.1,0.3431,0.154,0.0765,0.1,5.6
F,0.55,0.48,0.15,1.0074,0.4365,0.185,0.273,9.0
F,0.539,0.5,0.16,0.8638,0.41,0.164,0.256,8.6
F,0.601,0.46,0.17,1.3495,0.597,0.2548,0.3,10.4
I,0.508,0.4,0.146,0.6508,0.266,0.121,0.241,9.2
F,0.616,0.536,0.158,1.109,0.4418,0.279,0.338,11.7
F,0.628,0.467,0.181,1.346,0.6248,0.3134,0.3,9.4
F,0.68,0.56,0.191,1.346,0.6164,0.3054,0.389,12.1
F,0.469,0.36,0.137,0.6674,0.331,0.1239,0.185,7.4
F,0.599,0.53,0.16,1.2896,0.5353,0.2808,0.39,9.8
F,0.492,0.4,0.123,0.627,0.2604,0.1519,0.2,9.5
F,0.6,0.5,0.15,0.9692,0.391,0.279,0.28,10.2
F,0.61,0.44,0.15,0.946,0.4116,0.2368,0.262,11.0
I,0.305,0.27,0.09,0.2651,0.1161,0.05,0.065,4.5
F,0.577,0.486,0.18,1.0947,0.399,0.2326,0.3,13.2
F,0.47,0.34,0.128,0.42,0.1849,0.1061,0.14,6.8
F,0.577,0.52,0.18,1.4201,0.6654,0.2713,0.344,10.2
F,0.587,0.44,0.14,1.0089,0.4721,0.2137,0.281,10.3
F,0.518,0.45,0.15,0.8258,0.4079,0.189,0.224,7.7
M,0.498,0.42,0.134,0.8974,0.35,0.181,0.24,7.1
I,0.28,0.18,0.082,0.087,0.0599,0.027,0.04,3.1
