Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.6,0.5,0.112,0.339,0.2231,0.1122,0.133,9.6
F,0.55,0.57,0.15,0.889,0.571,0.217,0.232,5.0
F,0.598,0.4,0.09,0.492,0.2908,0.0559,0.134,8.3
F,0.863,0.41,0.162,1.8318,0.556,0.253,0.358,12.2
F,0.617,0.61,0.09,1.6569,0.477,0.3473,0.336,10.6
F,0.485,0.4,0.142,0.4693,0.3496,0.0978,0.224,8.4
F,0.802,0.557,0.135,1.0066,0.1375,0.21,0.253,12.6
F,0.75,0.57,0.14,0.85,0.5531,0.3315,0.214,12.0
F,0.525,0.574,0.17,1.4212,0.505,0.2086,0.4,14.7
F,0.573,0.34,0.167,0.5942,0.3608,0.173,0.146,13.6
I,0.22,0.233,0.039,0.063,0.0347,0.0175,0.0103,5.4
M,0.49,0.47,0.109,1.2176,0.2773,0.2609,0.2418,7.1
F,0.589,0.7,0.141,0.775,0.2913,0.243,0.352,12.2
M,0.2,0.28,0.08,0.23,0.172,0.0701,0.1,7.1
F,0.34,0.66,0.18,0.84,0.4161,0.201,0.308,8.3
F,0.494,0.48,0.15,1.1254,0.37,0.152,0.191,8.8
F,0.467,0.41,0.163,0.7997,0.487,0.1329,0.49,10.9
I,0.545,0.347,0.067,0.1937,0.2894,0.1896,0.251,7.9
F,0.483,0.455,0.203,1.077,0.4009,0.287,0.323,15.9
F,0.424,0.57,0.121,1.45,0.646,0.3216,0.4,9.1
F,0.909,0.61,0.178,1.828,0.9679,0.2912,0.42,18.1
F,0.476,0.33,0.144,0.5982,0.225,0.1024,0.19,4.2
F,0.636,0.49,0.2,1.1156,0.2779,0.2455,0.58,7.7
F,0.325,0.6,0.091,0.836,0.2924,0.0873,0.2,9.1
F,0.5,0.7,0.04,0.5664,0.314,0.403,0.29,12.8
F,0.6,0.49,0.17,0.8762,0.3558,0.1628,0.283,12.1
I,0.231,0.25,0.13,0.2551,0.0954,0.039,0.0767,5.4
F,0.629,0.469,0.21,1.184,0.4,0.2274,0.2,8.6
F,0.39,0.4,0.142,0.354,0.247,0.1342,0.07,5.0
F,0.589,0.36,0.153,1.3954,0.8218,0.2946,0.319,11.9
F,0.489,0.45,0.18,0.4057,0.5549,0.1537,0.162,6.6
F,0.812,0.26,0.11,0.7014,0.2761,0.247,0.206,6.9
M,0.543,0.48,0.151,0.9514,0.27,0.212,0.26,7.9
I,0.19,0.22,0.084,0.0713,0.0158,0.029,0.03,2.3
F,0.64,0.36,0.171,0.656,0.2269,0.168,0.132,14.0
F,0.358,0.6,0.228,0.7543,0.3178,0.197,0.178,7.8
F,0.46,0.225,0.1,0.3433,0.1959,0.094,0.098,3.6
F,0.309,0.31,0.13,1.1828,0.4019,0.217,0.18,10.0
F,0.417,0.52,0.174,1.03,0.6528,0.4112,0.404,3.4
F,0.6,0.58,0.09,0.909,0.3762,0.231,0.28,8.0
F,0.598,0.54,0.11,0.7762,0.298,0.1389,0.217,11.9
F,0.6,0.403,0.13,1.051,0.5904,0.148,0.346,9.9
F,0.539,0.56,0.117,0.76,0.2292,0.159,0.395,10.0
M,0.578,0.49,0.16,1.15,0.495,0.2036,0.267,6.2
F,0.425,0.52,0.2,2.106,0.8934,0.462,0.447,15.6
F,0.472,0.56,0.19,0.5355,0.4127,0.341,0.3,8.6
F,0.553,0.57,0.175,1.6038,0.6176,0.1413,0.36,11.0
F,0.853,0.33,0.18,1.454,1.15,0.3506,0.616,10.7
F,0.62,0.6,0.14,1.002,0.4485,0.3015,0.169,5.5
F,0.366,0.73,0.16,1.5897,0.597,0.2236,0.247,7.8
I,0.5,0.3,0.13,0.1981,0.101,0.072,0.11,7.5
F,0.565,0.54,0.13,1.029,0.5,0.2866,0.433,14.3
F,0.47,0.49,0.13,0.8894,0.4589,0.214,0.268,16.4
F,0.721,0.52,0.17,0.8712,0.5238,0.229,0.431,9.7
F,0.89,0.47,0.12,2.82,0.7,0.2808,0.5,11.4
F,0.771,0.38,0.12,0.8601,0.57,0.157,0.4,3.4
F,0.52,0.502,0.154,1.1905,0.8992,0.3444,0.413,9.3
F,0.558,0.64,0.18,1.259,0.6434,0.2256,0.43,9.9
F,0.68,0.52,0.186,0.7649,0.5266,0.237,0.556,17.9
I,0.628,0.34,0.131,0.5798,0.3053,0.1104,0.213,8.2
F,0.594,0.64,0.2,1.68,1.0384,0.3284,0.45,13.8
F,0.69,0.16,0.17,1.636,0.8436,0.506,0.58,10.3
F,0.48,0.65,0.192,1.1803,0.368,0.2799,0.304,9.0
F,0.4,0.251,0.15,0.847,0.5015,0.1293,0.37,9.3
I,0.55,0.32,0.15,0.3004,0.1553,0.108,0.15,7.4
F,0.77,0.33,0.14,1.1814,0.3885,0.232,0.275,7.7
F,0.506,0.267,0.053,0.988,0.244,0.1446,0.18,9.0
F,0.694,0.561,0.13,0.9107,0.41,0.2727,0.29,6.6
F,0.66,0.419,0.22,1.08,0.3264,0.243,0.3462,4.2
F,0.5,0.5,0.216,1.0518,0.5818,0.2493,0.258,4.3
F,0.69,0.499,0.22,0.96,0.751,0.2084,0.493,14.3
M,1.0,0.632,0.281,3.028,0.907,0.484,0.319,8.4
F,0.6,0.5,0.179,1.3064,0.3069,0.2944,0.35,8.5
F,0.869,0.323,0.16,1.503,0.4477,0.15,0.306,14.2
F,0.2,0.56,0.13,0.79,0.4056,0.2557,0.33,9.5
F,0.729,0.43,0.143,1.5978,0.4694,0.2619,0.287,17.1
F,0.6,0.28,0.17,1.108,0.4151,0.2046,0.16,9.6
M,0.53,0.4,0.176,1.0887,0.2264,0.1794,0.157,13.6
F,0.639,0.67,0.15,1.2326,0.4916,0.343,0.23,12.5
F,0.259,0.46,0.1,0.527,0.2277,0.1774,0.233,7.7
F,0.619,0.49,0.175,1.789,0.6701,0.209,0.603,11.9
F,0.62,0.45,0.17,1.2043,0.4627,0.2611,0.3246,11.8
F,0.86,0.45,0.112,0.5918,0.728,0.261,0.47,9.7
F,0.474,0.67,0.058,0.5524,0.168,0.1044,0.24,6.7
I,0.363,0.38,0.09,0.387,0.237,0.0911,0.122,7.4
F,0.45,0.437,0.1,0.6643,0.23,0.1984,0.17,6.6
I,0.67,0.55,0.118,0.774,0.424,0.1708,0.21,9.3
I,0.21,0.185,0.053,0.087,0.0148,0.0062,0.01,2.6
F,0.4,0.36,0.12,0.303,0.3681,0.1465,0.187,7.1
F,0.64,0.42,0.19,1.013,0.4231,0.1779,0.2321,10.9
F,0.54,0.4,0.146,0.307,0.253,0.0793,0.2,5.3
F,0.7,0.461,0.16,1.26,0.5753,0.211,0.333,15.6
