Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.52,0.4,0.132,0.66,0.2865,0.1242,0.188,7.6
F,0.6,0.46,0.16,1.167,0.593,0.244,0.266,8.7
F,0.527,0.4,0.11,0.535,0.297,0.1051,0.182,7.2
F,0.631,0.5,0.171,1.26,0.48,0.272,0.42,13.3
F,0.632,0.54,0.18,1.4649,0.699,0.3043,0.343,8.9
F,0.497,0.4,0.139,0.7279,0.2974,0.1376,0.194,6.9
F,0.55,0.464,0.134,0.9339,0.4186,0.171,0.276,9.0
F,0.65,0.51,0.18,1.31,0.6505,0.3058,0.34,8.6
F,0.601,0.444,0.14,1.138,0.585,0.2474,0.31,10.7
F,0.516,0.39,0.135,0.6433,0.2977,0.178,0.18,9.7
I,0.24,0.17,0.062,0.0648,0.0329,0.0121,0.0108,4.9
M,0.581,0.47,0.129,0.8951,0.4229,0.2251,0.2244,7.2
F,0.573,0.48,0.182,1.12,0.3941,0.243,0.351,9.8
M,0.4,0.32,0.11,0.3483,0.159,0.0755,0.1,5.8
F,0.57,0.47,0.15,0.9954,0.4305,0.191,0.274,9.0
F,0.557,0.48,0.16,0.8787,0.42,0.169,0.25,8.3
F,0.613,0.47,0.172,1.3195,0.575,0.2676,0.31,10.7
I,0.506,0.398,0.14,0.6572,0.2563,0.1233,0.24,9.6
F,0.621,0.516,0.167,1.162,0.4512,0.278,0.337,11.8
F,0.641,0.491,0.178,1.31,0.6427,0.303,0.3,9.2
F,0.672,0.55,0.183,1.376,0.6219,0.3004,0.392,12.1
F,0.487,0.37,0.136,0.672,0.34,0.1247,0.179,7.2
F,0.612,0.51,0.16,1.2666,0.5264,0.2692,0.37,9.4
F,0.498,0.4,0.129,0.638,0.2525,0.1487,0.21,9.3
F,0.6,0.5,0.15,1.0163,0.385,0.268,0.3,10.1
F,0.6,0.44,0.16,0.9583,0.399,0.2361,0.268,11.0
I,0.315,0.26,0.09,0.2543,0.1173,0.0512,0.0628,4.8
F,0.576,0.471,0.17,1.0796,0.413,0.2441,0.31,12.6
F,0.46,0.34,0.132,0.413,0.1807,0.1038,0.13,6.9
F,0.606,0.51,0.178,1.4018,0.6749,0.2824,0.359,10.6
F,0.581,0.46,0.15,1.0412,0.4643,0.2181,0.277,10.2
F,0.537,0.44,0.15,0.8326,0.4177,0.189,0.228,7.8
M,0.521,0.43,0.135,0.8759,0.36,0.18,0.24,7.1
I,0.27,0.18,0.079,0.0907,0.0572,0.026,0.04,3.0
F,0.55,0.39,0.136,0.632,0.2747,0.1377,0.208,9.9
F,0.531,0.4,0.133,0.6633,0.269,0.122,0.17,6.2
F,0.43,0.32,0.1,0.3729,0.1818,0.062,0.083,5.9
F,0.581,0.5,0.14,1.189,0.438,0.274,0.32,12.9
F,0.637,0.47,0.17,1.29,0.667,0.2992,0.322,8.0
F,0.57,0.45,0.16,0.9603,0.458,0.22,0.24,10.2
F,0.486,0.38,0.13,0.6519,0.2939,0.1267,0.177,10.3
F,0.575,0.468,0.15,1.059,0.4851,0.2589,0.255,10.9
F,0.529,0.43,0.135,0.86,0.3833,0.161,0.253,9.1
M,0.651,0.5,0.14,1.08,0.466,0.2598,0.283,9.7
F,0.659,0.56,0.2,1.83,0.7181,0.388,0.444,13.6
F,0.584,0.47,0.15,1.121,0.4572,0.272,0.344,9.9
F,0.613,0.48,0.167,1.2339,0.5166,0.2932,0.35,11.3
F,0.676,0.52,0.18,1.563,0.679,0.3535,0.445,10.5
F,0.57,0.46,0.15,0.897,0.4766,0.2316,0.263,7.8
F,0.634,0.51,0.14,1.1947,0.528,0.235,0.329,11.0
I,0.48,0.36,0.11,0.2926,0.129,0.059,0.08,6.2
F,0.642,0.49,0.16,1.249,0.5,0.2715,0.361,13.0
F,0.6,0.46,0.15,0.9363,0.4248,0.191,0.296,13.6
F,0.65,0.5,0.19,1.0605,0.5023,0.236,0.351,9.0
F,0.72,0.58,0.19,1.998,0.9,0.4009,0.477,11.0
F,0.651,0.45,0.15,1.1458,0.51,0.221,0.29,5.8
F,0.63,0.518,0.174,1.3968,0.6795,0.2907,0.404,10.3
F,0.587,0.49,0.15,1.147,0.5519,0.2195,0.34,9.7
F,0.6,0.46,0.178,1.0471,0.4411,0.247,0.347,12.5
I,0.496,0.38,0.126,0.6725,0.3405,0.1216,0.191,7.3
F,0.667,0.56,0.2,1.53,0.8565,0.3709,0.441,10.4
F,0.7,0.58,0.18,1.7117,0.7657,0.418,0.48,9.0
F,0.68,0.519,0.18,1.2205,0.496,0.3056,0.335,11.2
F,0.56,0.441,0.15,0.988,0.453,0.1912,0.23,9.3
I,0.45,0.35,0.13,0.4907,0.214,0.093,0.14,6.7
F,0.577,0.47,0.16,1.0681,0.4432,0.233,0.304,10.1
F,0.497,0.385,0.131,0.654,0.224,0.1431,0.23,9.5
F,0.572,0.418,0.132,0.9487,0.4,0.1913,0.23,7.0
F,0.579,0.468,0.15,0.99,0.4726,0.254,0.2733,2.9
F,0.6,0.45,0.172,0.9123,0.4765,0.2212,0.287,8.7
F,0.65,0.495,0.18,1.435,0.645,0.2971,0.45,10.9
M,0.7,0.55,0.215,2.147,1.12,0.524,0.502,10.9
F,0.6,0.47,0.17,1.2202,0.5032,0.2551,0.324,13.2
F,0.645,0.452,0.16,1.0431,0.4693,0.236,0.274,10.5
F,0.6,0.47,0.16,0.98,0.4648,0.255,0.23,8.0
F,0.619,0.49,0.161,1.1387,0.4599,0.256,0.338,12.6
F,0.61,0.45,0.15,0.969,0.4533,0.2048,0.23,8.1
M,0.55,0.46,0.134,0.9188,0.4443,0.1387,0.203,9.1
