Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.53,0.4,0.134,0.637,0.282,0.125,0.183,8.1
F,0.57,0.46,0.16,1.123,0.575,0.244,0.273,8.8
F,0.518,0.4,0.11,0.547,0.2896,0.0997,0.173,7.1
F,0.635,0.49,0.174,1.268,0.499,0.275,0.413,13.0
F,0.653,0.52,0.18,1.4626,0.714,0.2957,0.354,9.1
F,0.514,0.4,0.135,0.6951,0.3063,0.1417,0.187,7.1
F,0.584,0.459,0.135,0.9019,0.413,0.168,0.274,9.1
F,0.63,0.49,0.18,1.36,0.6524,0.2969,0.349,9.1
F,0.592,0.46,0.15,1.1306,0.572,0.2536,0.31,11.1
F,0.508,0.39,0.136,0.6703,0.3135,0.179,0.183,10.1
I,0.25,0.177,0.064,0.0644,0.0345,0.0127,0.0105,5.0
M,0.552,0.45,0.134,0.9266,0.4215,0.2221,0.2185,7.0
F,0.556,0.47,0.174,1.127,0.3827,0.242,0.336,10.1
M,0.4,0.34,0.11,0.3486,0.164,0.0743,0.1,6.0
F,0.58,0.47,0.15,0.9778,0.4242,0.197,0.276,9.0
F,0.572,0.46,0.16,0.9028,0.43,0.173,0.242,8.0
F,0.619,0.49,0.175,1.2699,0.551,0.2746,0.33,11.0
I,0.507,0.393,0.132,0.6447,0.2482,0.1281,0.239,9.9
F,0.619,0.493,0.176,1.209,0.4581,0.276,0.335,12.2
F,0.646,0.517,0.173,1.281,0.6599,0.2937,0.3,9.0
F,0.675,0.54,0.175,1.423,0.6411,0.2953,0.396,12.2
F,0.504,0.38,0.135,0.6734,0.344,0.1246,0.174,6.9
F,0.625,0.49,0.15,1.2384,0.5079,0.257,0.37,8.9
F,0.498,0.4,0.133,0.656,0.2464,0.1432,0.22,9.0
F,0.6,0.5,0.15,1.0436,0.375,0.263,0.31,10.1
F,0.58,0.44,0.16,0.9667,0.3853,0.2326,0.275,11.0
I,0.321,0.25,0.09,0.244,0.1176,0.052,0.0611,5.0
F,0.577,0.456,0.16,1.0693,0.427,0.2544,0.32,11.9
F,0.46,0.35,0.135,0.404,0.1793,0.1028,0.13,6.9
F,0.633,0.48,0.174,1.384,0.69,0.2935,0.372,11.0
F,0.572,0.48,0.15,1.0468,0.4604,0.2197,0.27,9.9
F,0.565,0.43,0.15,0.834,0.4214,0.19,0.23,8.0
M,0.545,0.44,0.136,0.8584,0.38,0.18,0.23,7.0
I,0.26,0.19,0.075,0.0936,0.053,0.026,0.04,3.0
F,0.53,0.41,0.136,0.646,0.2822,0.1435,0.202,10.2
F,0.509,0.4,0.139,0.6815,0.259,0.126,0.175,6.1
F,0.44,0.321,0.1,0.3742,0.1744,0.062,0.082,5.9
F,0.593,0.48,0.15,1.1364,0.4246,0.26,0.3,12.9
F,0.617,0.49,0.175,1.34,0.6564,0.2972,0.338,7.8
F,0.57,0.46,0.16,0.9565,0.4514,0.212,0.23,9.9
F,0.509,0.39,0.13,0.6776,0.2841,0.1241,0.177,10.1
F,0.576,0.453,0.15,1.013,0.4993,0.2522,0.268,11.0
F,0.554,0.44,0.134,0.88,0.3783,0.166,0.261,9.0
M,0.623,0.49,0.15,1.09,0.4619,0.2534,0.292,9.8
F,0.665,0.54,0.2,1.8,0.7313,0.386,0.435,13.1
F,0.571,0.46,0.15,1.076,0.4586,0.272,0.334,9.9
F,0.622,0.49,0.175,1.2579,0.5292,0.2874,0.36,11.0
F,0.682,0.54,0.18,1.582,0.694,0.3524,0.452,11.0
F,0.57,0.45,0.15,0.91,0.46,0.2381,0.252,7.9
F,0.643,0.55,0.15,1.2381,0.546,0.2341,0.312,10.9
I,0.46,0.35,0.11,0.2974,0.123,0.061,0.08,6.1
F,0.623,0.49,0.16,1.242,0.5,0.2644,0.349,13.1
F,0.57,0.44,0.16,0.9557,0.4134,0.198,0.294,13.1
F,0.629,0.49,0.18,1.075,0.5005,0.245,0.358,9.0
F,0.72,0.55,0.18,2.001,0.9,0.3986,0.463,11.0
F,0.631,0.46,0.15,1.0851,0.54,0.216,0.29,5.9
F,0.65,0.505,0.174,1.3748,0.6681,0.2946,0.405,10.0
F,0.603,0.501,0.15,1.2,0.5811,0.2245,0.34,10.0
F,0.63,0.46,0.175,1.0804,0.4286,0.246,0.344,12.2
I,0.51,0.38,0.125,0.641,0.3237,0.123,0.186,7.0
F,0.672,0.54,0.2,1.56,0.8811,0.3544,0.445,10.2
F,0.72,0.53,0.18,1.7786,0.7907,0.405,0.49,9.1
F,0.65,0.511,0.176,1.2074,0.478,0.3045,0.334,10.9
F,0.56,0.437,0.15,0.971,0.466,0.1919,0.24,9.0
I,0.46,0.35,0.14,0.4762,0.2045,0.092,0.14,7.0
F,0.583,0.45,0.16,1.097,0.4586,0.244,0.294,9.9
F,0.515,0.39,0.132,0.699,0.233,0.1435,0.23,10.0
F,0.561,0.44,0.135,0.9067,0.38,0.1976,0.23,7.0
F,0.607,0.473,0.16,1.02,0.459,0.244,0.287,3.0
F,0.6,0.46,0.177,0.9027,0.4654,0.2332,0.294,8.8
F,0.63,0.505,0.18,1.388,0.661,0.292,0.433,11.1
M,0.73,0.568,0.218,2.16,1.093,0.511,0.504,10.9
F,0.6,0.49,0.175,1.246,0.4908,0.2571,0.336,12.8
F,0.635,0.469,0.15,1.0849,0.4638,0.242,0.276,11.1
F,0.6,0.45,0.15,0.96,0.4545,0.244,0.23,8.1
F,0.61,0.49,0.155,1.1185,0.457,0.2558,0.352,13.2
F,0.59,0.45,0.15,0.935,0.4548,0.2026,0.23,8.1
M,0.57,0.45,0.137,0.9618,0.4454,0.144,0.2,9.2
F,0.626,0.5,0.16,1.1672,0.5424,0.3176,0.34,11.1
F,0.505,0.38,0.11,0.561,0.2457,0.1314,0.177,8.0
F,0.654,0.54,0.175,1.393,0.5822,0.275,0.442,11.0
F,0.57,0.49,0.15,1.1651,0.5566,0.2528,0.3015,9.1
F,0.64,0.49,0.172,1.1416,0.522,0.256,0.36,11.9
F,0.542,0.45,0.132,0.7579,0.316,0.141,0.23,7.9
I,0.451,0.35,0.11,0.405,0.1808,0.0742,0.125,8.0
