Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.515,0.4,0.135,0.7035,0.2845,0.1225,0.205,10.0
F,0.605,0.455,0.16,0.8945,0.3845,0.163,0.275,7.0
F,0.515,0.4,0.135,0.6735,0.28,0.132,0.185,8.0
F,0.46,0.35,0.15,0.594,0.28,0.1255,0.185,13.0
F,0.555,0.455,0.175,1.0985,0.4545,0.281,0.295,13.0
F,0.315,0.24,0.075,0.257,0.115,0.047,0.035,5.0
F,0.575,0.455,0.15,0.92,0.3845,0.174,0.255,9.0
F,0.6,0.46,0.18,1.011,0.4245,0.2555,0.295,15.0
F,0.575,0.455,0.15,1.181,0.4275,0.2955,0.271,10.0
F,0.635,0.49,0.175,1.3835,0.675,0.2925,0.36,11.0
F,0.57,0.44,0.16,0.802,0.345,0.1225,0.23,8.0
F,0.575,0.46,0.175,1.0635,0.4275,0.2205,0.309,9.0
F,0.515,0.4,0.15,0.573,0.2485,0.1255,0.185,7.0
F,0.515,0.38,0.135,0.6735,0.2845,0.1235,0.196,11.0
F,0.655,0.55,0.18,1.3705,0.575,0.2955,0.435,13.0
F,0.685,0.54,0.2,1.969,0.5465,0.477,0.58,16.0
F,0.515,0.4,0.16,0.78,0.332,0.174,0.185,9.0
F,0.57,0.44,0.135,0.7845,0.328,0.1435,0.23,4.0
F,0.625,0.49,0.15,1.0935,0.4645,0.2925,0.34,10.0
F,0.53,0.4,0.15,0.7035,0.2865,0.1455,0.205,10.0
F,0.625,0.49,0.175,1.3035,0.7045,0.2955,0.31,8.0
F,0.6,0.46,0.15,1.004,0.463,0.1945,0.295,9.0
F,0.575,0.455,0.135,0.8945,0.38,0.174,0.255,11.0
F,0.575,0.44,0.16,1.0935,0.425,0.268,0.335,17.0
F,0.69,0.54,0.2,1.56,0.675,0.3525,0.49,15.0
F,0.505,0.4,0.11,0.649,0.313,0.1455,0.185,8.0
F,0.575,0.46,0.15,0.976,0.45,0.2525,0.255,9.0
F,0.575,0.46,0.15,0.8945,0.38,0.155,0.244,9.0
F,0.605,0.455,0.175,1.09,0.475,0.244,0.343,10.0
F,0.625,0.49,0.175,1.2445,0.518,0.297,0.352,8.0
F,0.53,0.44,0.135,0.6735,0.301,0.1425,0.185,8.0
F,0.575,0.455,0.15,0.89,0.4645,0.21625,0.254,11.0
F,0.44,0.35,0.135,0.475,0.2065,0.1435,0.14,7.0
F,0.705,0.54,0.175,1.56,0.6585,0.2955,0.3645,9.0
F,0.705,0.54,0.175,1.659,0.7045,0.369,0.45,11.0
F,0.545,0.44,0.15,0.7045,0.322,0.1235,0.239,8.0
F,0.575,0.44,0.15,0.7845,0.38,0.174,0.2345,9.0
F,0.575,0.455,0.15,1.0945,0.4605,0.231,0.293,10.0
F,0.63,0.49,0.16,1.133,0.5785,0.2525,0.275,9.0
F,0.605,0.46,0.15,1.0635,0.429,0.2555,0.275,11.0
F,0.605,0.49,0.175,1.0985,0.4545,0.2555,0.355,11.0
F,0.625,0.49,0.2,1.3845,0.615,0.281,0.36,11.0
F,0.605,0.46,0.175,1.06,0.4115,0.21625,0.355,15.0
F,0.605,0.46,0.175,1.238,0.57,0.2955,0.355,10.0
F,0.575,0.46,0.16,1.06,0.4605,0.2165,0.275,11.0
F,0.545,0.455,0.15,0.8945,0.4175,0.2525,0.255,3.0
F,0.625,0.46,0.15,1.09,0.4605,0.2535,0.335,10.0
F,0.625,0.49,0.175,1.122,0.475,0.2525,0.355,12.0
F,0.66,0.55,0.18,1.4545,0.54,0.368,0.395,14.0
F,0.625,0.49,0.16,1.2435,0.4245,0.268,0.335,15.0
F,0.575,0.46,0.15,0.8885,0.313,0.1945,0.275,9.0
F,0.575,0.46,0.16,1.008,0.412,0.216,0.295,10.0
F,0.575,0.44,0.135,0.92,0.4245,0.211,0.201,7.0
F,0.675,0.54,0.175,1.38,0.519,0.3525,0.395,9.0
F,0.625,0.49,0.175,1.124,0.38,0.281,0.34,13.0
F,0.575,0.46,0.16,1.0635,0.4645,0.242,0.275,10.0
F,0.57,0.455,0.16,0.9,0.398,0.197,0.295,12.0
F,0.705,0.55,0.18,1.793,0.54,0.3525,0.496,22.0
F,0.505,0.38,0.11,0.659,0.2865,0.1455,0.14,4.0
F,0.63,0.49,0.175,1.1635,0.4275,0.2555,0.355,13.0
F,0.515,0.38,0.135,0.585,0.28,0.1225,0.175,8.0
F,0.57,0.44,0.16,0.8935,0.38,0.197,0.2345,9.0
F,0.625,0.49,0.16,1.09,0.3885,0.2555,0.295,13.0
F,0.66,0.54,0.175,1.7085,0.6585,0.297,0.45,9.0
F,0.66,0.54,0.175,1.56,0.675,0.3555,0.45,13.0
F,0.545,0.4,0.15,0.816,0.4245,0.179,0.205,6.0
F,0.315,0.21,0.075,0.111,0.036,0.027,0.035,5.0
F,0.71,0.565,0.22,1.787,0.7045,0.401,0.411,11.0
F,0.505,0.4,0.135,0.56,0.2485,0.1435,0.1445,3.0
F,0.625,0.49,0.175,1.198,0.4545,0.2955,0.355,13.0
F,0.605,0.49,0.16,1.1635,0.475,0.2555,0.36,11.0
F,0.6,0.46,0.16,0.8935,0.4685,0.175,0.275,8.0
F,0.57,0.455,0.16,1.142,0.4565,0.246,0.309,19.0
