Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.53,0.4,0.135,0.649,0.2845,0.1255,0.185,8.0
F,0.57,0.46,0.16,1.133,0.575,0.245,0.275,9.0
F,0.515,0.4,0.11,0.549,0.2895,0.1015,0.175,7.0
F,0.625,0.49,0.175,1.2445,0.497,0.276,0.415,13.0
F,0.655,0.52,0.18,1.4545,0.724,0.2935,0.355,9.0
F,0.515,0.4,0.135,0.7045,0.3045,0.1435,0.185,7.0
F,0.575,0.455,0.135,0.8975,0.4245,0.166,0.275,9.0
F,0.63,0.49,0.18,1.38,0.6565,0.2955,0.355,9.0
F,0.595,0.455,0.15,1.1185,0.575,0.2555,0.31,11.0
F,0.505,0.39,0.135,0.6735,0.3115,0.179,0.185,10.0
I,0.25,0.175,0.065,0.0645,0.0345,0.0125,0.0105,5.0
M,0.555,0.45,0.135,0.9145,0.4275,0.2205,0.2175,7.0
F,0.555,0.46,0.175,1.142,0.3865,0.242,0.335,10.0
M,0.4,0.34,0.11,0.3535,0.164,0.0745,0.1,6.0
F,0.59,0.46,0.15,0.9835,0.4245,0.197,0.275,9.0
F,0.575,0.46,0.16,0.8935,0.43,0.174,0.244,8.0
F,0.625,0.49,0.175,1.2895,0.554,0.2805,0.32,11.0
I,0.505,0.395,0.135,0.6635,0.2465,0.1255,0.239,10.0
F,0.625,0.495,0.175,1.214,0.4605,0.276,0.335,12.0
F,0.655,0.515,0.175,1.274,0.6605,0.2925,0.3,9.0
F,0.665,0.54,0.175,1.406,0.6275,0.2955,0.395,12.0
F,0.505,0.38,0.135,0.6765,0.349,0.1255,0.173,7.0
F,0.625,0.49,0.15,1.2435,0.5175,0.2575,0.36,9.0
F,0.505,0.4,0.135,0.649,0.2445,0.1455,0.22,9.0
F,0.6,0.5,0.15,1.0635,0.378,0.257,0.31,10.0
F,0.58,0.44,0.16,0.9705,0.3865,0.2355,0.275,11.0
I,0.325,0.25,0.09,0.2435,0.1185,0.0525,0.0605,5.0
F,0.575,0.455,0.16,1.0645,0.428,0.2555,0.32,12.0
F,0.46,0.35,0.135,0.406,0.1765,0.1015,0.13,7.0
F,0.635,0.49,0.175,1.3835,0.6845,0.2935,0.374,11.0
F,0.575,0.48,0.15,1.0735,0.4565,0.2225,0.274,10.0
F,0.555,0.44,0.15,0.8395,0.4275,0.188,0.231,8.0
M,0.545,0.44,0.135,0.8545,0.38,0.179,0.23,7.0
I,0.26,0.19,0.075,0.0945,0.0545,0.026,0.04,3.0
F,0.53,0.41,0.135,0.646,0.2845,0.1425,0.205,10.0
F,0.515,0.4,0.135,0.6785,0.2565,0.123,0.175,6.0
F,0.44,0.325,0.1,0.3755,0.1735,0.061,0.081,6.0
F,0.605,0.49,0.15,1.1345,0.4255,0.262,0.31,13.0
F,0.625,0.49,0.175,1.35,0.6565,0.2925,0.335,8.0
F,0.57,0.46,0.16,0.9585,0.4545,0.211,0.23,10.0
F,0.505,0.38,0.13,0.6735,0.2835,0.1235,0.175,10.0
F,0.575,0.455,0.15,1.011,0.4955,0.2565,0.265,11.0
F,0.555,0.44,0.135,0.89,0.3845,0.166,0.255,9.0
M,0.625,0.49,0.15,1.09,0.4605,0.2555,0.293,10.0
F,0.675,0.54,0.2,1.787,0.7245,0.383,0.435,13.0
F,0.575,0.46,0.15,1.0985,0.4605,0.269,0.335,10.0
F,0.625,0.49,0.175,1.2435,0.5255,0.2935,0.36,11.0
F,0.675,0.55,0.18,1.587,0.675,0.3525,0.445,11.0
F,0.57,0.44,0.15,0.906,0.4605,0.2355,0.255,8.0
F,0.655,0.54,0.15,1.2235,0.544,0.2345,0.315,11.0
I,0.46,0.35,0.11,0.3015,0.124,0.061,0.08,6.0
F,0.625,0.49,0.16,1.251,0.5,0.2635,0.345,13.0
F,0.57,0.44,0.16,0.9585,0.4115,0.197,0.295,13.0
F,0.625,0.49,0.18,1.0835,0.4995,0.246,0.355,9.0
