Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.57,0.445,0.135,0.837,0.3965,0.207,0.255,9.0
I,0.4,0.3,0.1,0.2815,0.1285,0.061,0.08,8.0
M,0.645,0.49,0.14,1.145,0.4565,0.277,0.35,10.0
F,0.63,0.48,0.155,1.0335,0.54,0.246,0.2845,9.0
F,0.45,0.335,0.105,0.376,0.2015,0.064,0.1155,7.0
M,0.57,0.45,0.15,0.976,0.4605,0.2055,0.275,8.0
F,0.63,0.515,0.175,1.3835,0.6255,0.3035,0.445,11.0
F,0.72,0.55,0.205,2.063,1.0565,0.3935,0.512,10.0
F,0.575,0.455,0.15,0.997,0.45,0.221,0.28,8.0
F,0.6,0.465,0.16,1.016,0.532,0.1725,0.26,9.0
F,0.575,0.45,0.155,0.8295,0.4565,0.173,0.23,8.0
F,0.575,0.455,0.16,1.0145,0.412,0.2375,0.355,12.0
F,0.575,0.44,0.15,0.7665,0.279,0.1435,0.25,9.0
M,0.52,0.4,0.155,0.7555,0.3465,0.1825,0.225,9.0
F,0.71,0.54,0.19,1.7095,0.737,0.4015,0.4475,9.0
F,0.655,0.51,0.18,1.363,0.519,0.2935,0.38,23.0
I,0.585,0.46,0.155,0.974,0.4255,0.182,0.275,9.0
F,0.655,0.52,0.175,1.38,0.483,0.257,0.45,11.0
I,0.4,0.3,0.1,0.2605,0.1145,0.0635,0.08,6.0
F,0.575,0.45,0.145,0.945,0.47,0.2245,0.275,9.0
I,0.37,0.27,0.095,0.1875,0.074,0.0425,0.075,6.0
F,0.695,0.55,0.18,1.6755,0.6955,0.3725,0.409,9.0
F,0.575,0.455,0.15,0.9125,0.4255,0.2035,0.275,9.0
I,0.315,0.23,0.075,0.137,0.0565,0.044,0.04,8.0
F,0.625,0.475,0.18,1.2435,0.6275,0.2925,0.3765,9.0
F,0.625,0.475,0.165,1.0835,0.4605,0.2205,0.275,11.0
F,0.545,0.425,0.15,0.853,0.38,0.185,0.255,10.0
F,0.585,0.46,0.16,0.8975,0.3245,0.1735,0.26,11.0
M,0.635,0.515,0.175,1.363,0.6115,0.2985,0.4355,12.0
I,0.55,0.435,0.13,0.6245,0.2845,0.158,0.17,7.0
F,0.395,0.3,0.1,0.2885,0.1185,0.0535,0.0885,7.0
F,0.575,0.455,0.135,0.8965,0.4665,0.1425,0.239,9.0
M,0.625,0.49,0.15,1.0735,0.4115,0.2635,0.28,11.0
I,0.53,0.415,0.125,0.6355,0.2735,0.1435,0.155,6.0
M,0.575,0.455,0.13,0.835,0.387,0.1735,0.23,9.0
I,0.44,0.33,0.1,0.312,0.159,0.075,0.08,6.0
I,0.36,0.28,0.09,0.2875,0.1125,0.0735,0.08,6.0
F,0.625,0.49,0.175,1.2835,0.5475,0.2565,0.309,10.0
M,0.63,0.505,0.175,1.3165,0.575,0.258,0.405,13.0
F,0.485,0.38,0.135,0.5785,0.2065,0.1265,0.175,14.0
F,0.565,0.44,0.15,0.97,0.4425,0.179,0.275,12.0
F,0.625,0.495,0.15,1.1635,0.5585,0.2355,0.31,8.0
I,0.46,0.35,0.115,0.566,0.24,0.1225,0.14,8.0
F,0.545,0.425,0.15,0.8795,0.4275,0.215,0.255,9.0
F,0.54,0.42,0.155,0.739,0.2945,0.1525,0.239,8.0
F,0.605,0.47,0.155,1.0595,0.4245,0.2705,0.305,8.0
F,0.58,0.455,0.135,1.0145,0.496,0.2345,0.275,7.0
F,0.575,0.455,0.15,0.8845,0.445,0.2225,0.24,8.0
F,0.57,0.44,0.15,0.871,0.4185,0.1815,0.244,8.0
F,0.515,0.4,0.14,0.6765,0.282,0.1765,0.17,6.0
F,0.555,0.435,0.15,0.6955,0.2835,0.153,0.231,7.0
F,0.655,0.525,0.18,1.3315,0.5755,0.2455,0.45,13.0
F,0.575,0.455,0.15,1.0705,0.4545,0.2165,0.255,11.0
M,0.705,0.55,0.175,1.587,0.6895,0.383,0.4545,8.0
F,0.575,0.45,0.135,0.9505,0.4005,0.1825,0.23,8.0
F,0.655,0.515,0.175,1.38,0.6625,0.293,0.36,9.0
F,0.44,0.335,0.1,0.413,0.1705,0.081,0.095,7.0
F,0.625,0.49,0.16,1.1185,0.5275,0.2315,0.3485,10.0
F,0.575,0.46,0.165,0.924,0.4515,0.1955,0.239,10.0
F,0.67,0.515,0.19,1.3835,0.59,0.308,0.355,11.0
F,0.58,0.445,0.15,0.976,0.4605,0.196,0.255,13.0
F,0.63,0.515,0.175,1.38,0.54,0.2945,0.395,12.0
F,0.65,0.515,0.18,1.38,0.6275,0.2925,0.3745,8.0
F,0.63,0.47,0.15,1.1645,0.4205,0.2315,0.315,12.0
I,0.28,0.21,0.07,0.092,0.0345,0.0125,0.021,5.0
I,0.515,0.38,0.125,0.5605,0.2345,0.1285,0.16,8.0
M,0.63,0.49,0.16,1.16,0.5365,0.247,0.34,7.0
F,0.69,0.55,0.2,1.5605,0.6845,0.3655,0.45,11.0
F,0.605,0.49,0.175,1.2525,0.546,0.256,0.36,14.0
F,0.625,0.48,0.15,1.0885,0.4445,0.2205,0.255,8.0
F,0.625,0.495,0.165,1.114,0.4985,0.216,0.32,14.0
M,0.625,0.485,0.165,1.1345,0.5255,0.273,0.3645,8.0
I,0.37,0.29,0.11,0.2445,0.0945,0.0395,0.08,7.0
M,0.51,0.395,0.125,0.562,0.2865,0.1155,0.185,7.0
F,0.605,0.485,0.15,1.0635,0.4605,0.263,0.335,11.0
I,0.575,0.46,0.135,0.984,0.4645,0.174,0.255,10.0
M,0.655,0.51,0.19,1.566,0.6565,0.3475,0.4,9.0
F,0.53,0.42,0.135,0.7665,0.2855,0.1455,0.19,10.0
F,0.555,0.435,0.15,0.8115,0.3345,0.1735,0.23,10.0
F,0.625,0.49,0.175,1.3825,0.6255,0.297,0.36,13.0
F,0.57,0.44,0.15,0.879,0.3895,0.171,0.221,8.0
F,0.655,0.51,0.19,1.8945,0.8545,0.383,0.43,9.0
F,0.59,0.46,0.135,1.0915,0.5415,0.2345,0.26,12.0
I,0.56,0.44,0.15,0.7835,0.358,0.1455,0.245,8.0
I,0.41,0.3,0.09,0.3055,0.129,0.0655,0.08,8.0
I,0.6,0.475,0.175,1.3645,0.6275,0.2945,0.355,9.0
F,0.63,0.495,0.175,1.1745,0.5465,0.269,0.309,9.0
I,0.34,0.26,0.075,0.1785,0.0815,0.037,0.055,8.0
F,0.51,0.45,0.15,0.7665,0.3085,0.152,0.255,12.0
F,0.72,0.55,0.2,1.978,0.9,0.44,0.503,11.0
F,0.49,0.385,0.135,0.6105,0.2055,0.0955,0.205,12.0
F,0.615,0.495,0.17,1.1685,0.54,0.2615,0.295,9.0
F,0.625,0.49,0.15,1.1185,0.4385,0.216,0.31,13.0
M,0.63,0.485,0.175,1.3275,0.556,0.2945,0.36,10.0
F,0.575,0.46,0.16,1.0,0.4005,0.2455,0.301,10.0
F,0.625,0.48,0.16,1.1785,0.5685,0.2525,0.335,9.0
I,0.44,0.35,0.12,0.4465,0.2015,0.1085,0.14,7.0
F,0.6,0.47,0.16,1.0835,0.4905,0.221,0.3,7.0
F,0.625,0.49,0.165,1.2455,0.4605,0.2525,0.355,10.0
F,0.57,0.45,0.16,0.97,0.4615,0.2575,0.25,10.0
F,0.685,0.54,0.18,1.5585,0.7285,0.309,0.431,10.0
F,0.56,0.445,0.155,0.9705,0.4115,0.2225,0.24,9.0
M,0.575,0.45,0.15,0.8965,0.4275,0.1855,0.25,10.0
F,0.505,0.4,0.11,0.5785,0.229,0.1385,0.2,9.0
F,0.655,0.5,0.155,1.2025,0.5785,0.2575,0.33,10.0
F,0.585,0.455,0.16,0.97,0.4525,0.2185,0.295,12.0
F,0.575,0.46,0.135,0.8275,0.3835,0.1525,0.23,11.0
I,0.555,0.44,0.15,0.6145,0.2565,0.1425,0.2215,9.0
I,0.52,0.405,0.125,0.6765,0.349,0.1255,0.196,9.0
M,0.63,0.51,0.175,1.4395,0.54,0.2975,0.3745,11.0
F,0.63,0.485,0.155,1.115,0.4305,0.211,0.325,13.0
F,0.69,0.55,0.155,1.56,0.741,0.3345,0.435,13.0
F,0.57,0.455,0.16,0.9665,0.429,0.163,0.295,8.0
F,0.575,0.455,0.15,0.972,0.4645,0.1755,0.264,8.0
F,0.69,0.52,0.2,1.6275,0.7245,0.2655,0.435,9.0
F,0.49,0.38,0.125,0.5945,0.216,0.1365,0.185,10.0
F,0.715,0.55,0.175,1.3035,0.5415,0.2925,0.35,9.0
F,0.69,0.55,0.195,1.5395,0.5735,0.3045,0.58,19.0
M,0.6,0.455,0.15,1.0935,0.5475,0.2425,0.295,10.0
F,0.6,0.475,0.175,1.13,0.5605,0.2575,0.33,11.0
F,0.57,0.46,0.15,0.9555,0.4515,0.2435,0.26,11.0
F,0.6,0.465,0.15,1.2495,0.5455,0.2985,0.315,11.0
F,0.565,0.44,0.16,0.86,0.3965,0.168,0.23,10.0
F,0.515,0.41,0.135,0.6015,0.2865,0.1635,0.18,7.0
F,0.63,0.505,0.165,1.2635,0.6065,0.2565,0.31,9.0
F,0.505,0.4,0.135,0.6645,0.3195,0.145,0.205,16.0
I,0.37,0.27,0.08,0.2445,0.108,0.0345,0.0715,7.0
M,0.66,0.535,0.175,1.3715,0.6315,0.256,0.315,11.0
F,0.645,0.505,0.175,1.352,0.56,0.2925,0.36,13.0
F,0.625,0.49,0.175,1.2895,0.6045,0.2955,0.355,10.0
F,0.555,0.45,0.13,0.8275,0.3845,0.179,0.255,10.0
I,0.405,0.29,0.095,0.2885,0.11,0.0455,0.085,7.0
F,0.545,0.445,0.16,0.9665,0.45,0.197,0.275,10.0
F,0.605,0.47,0.165,1.081,0.4175,0.2815,0.335,10.0
F,0.575,0.445,0.16,0.9395,0.4595,0.197,0.25,10.0
M,0.65,0.515,0.175,1.4885,0.6655,0.2955,0.363,3.0
F,0.565,0.455,0.17,1.0725,0.4605,0.253,0.315,9.0
F,0.575,0.45,0.175,0.9455,0.4275,0.1755,0.295,9.0
F,0.615,0.48,0.14,0.9705,0.4115,0.174,0.275,9.0
F,0.59,0.46,0.15,1.004,0.4915,0.2105,0.301,11.0
F,0.6,0.48,0.15,1.133,0.525,0.2525,0.285,9.0
F,0.565,0.455,0.175,0.9145,0.3885,0.1925,0.295,12.0
F,0.46,0.35,0.12,0.4265,0.1545,0.1075,0.14,13.0
I,0.45,0.335,0.11,0.3555,0.152,0.0725,0.11,6.0
F,0.4,0.3,0.1,0.287,0.111,0.054,0.091,7.0
M,0.63,0.49,0.16,1.2435,0.519,0.262,0.335,10.0
F,0.6,0.475,0.155,1.114,0.4565,0.2045,0.28,10.0
I,0.165,0.11,0.01,0.011,0.0075,0.0055,0.005,4.0
